timestamp,user,ip,country,flag,status,event_type,safe,hour,date,weekday,off_hours,failed_attempts,unique_ips
2026-05-05 06:00:30,service_acc,203.0.113.77,North Korea,🇰🇵,FAILED,VPN,False,6,2026-05-05,Tuesday,True,44,9
2026-05-05 06:03:25,service_acc,91.108.4.200,China,🇨🇳,FAILED,RDP,False,6,2026-05-05,Tuesday,True,33,9
2026-05-05 06:05:41,service_acc,192.168.1.10,Egypt,🇪🇬,SUCCESS,login,True,6,2026-05-05,Tuesday,True,4,9
2026-05-05 06:08:52,john.doe,172.16.0.8,Egypt,🇪🇬,SUCCESS,SSH,True,6,2026-05-05,Tuesday,True,4,9
2026-05-05 06:11:39,guest,185.23.45.2,Russia,🇷🇺,FAILED,RDP,False,6,2026-05-05,Tuesday,True,41,9
2026-05-05 06:14:31,john.doe,198.51.100.5,Iran,🇮🇷,FAILED,API,False,6,2026-05-05,Tuesday,True,51,9
2026-05-05 06:17:51,root,192.168.1.10,Egypt,🇪🇬,SUCCESS,RDP,True,6,2026-05-05,Tuesday,True,4,9
2026-05-05 06:20:16,admin,10.0.0.5,Egypt,🇪🇬,SUCCESS,login,True,6,2026-05-05,Tuesday,True,5,9
2026-05-05 06:23:25,john.doe,194.165.16.11,Belarus,🇧🇾,FAILED,login,False,6,2026-05-05,Tuesday,True,61,9
2026-05-05 06:26:00,admin,192.168.1.10,Egypt,🇪🇬,SUCCESS,login,True,6,2026-05-05,Tuesday,True,4,9
2026-05-05 06:29:06,jane.smith,203.0.113.77,North Korea,🇰🇵,FAILED,SSH,False,6,2026-05-05,Tuesday,True,44,9
2026-05-05 06:32:02,jane.smith,198.51.100.5,Iran,🇮🇷,FAILED,RDP,False,6,2026-05-05,Tuesday,True,51,9
2026-05-05 06:34:55,admin,172.16.0.8,Egypt,🇪🇬,SUCCESS,login,True,6,2026-05-05,Tuesday,True,4,9
2026-05-05 06:37:04,jane.smith,198.51.100.5,Iran,🇮🇷,FAILED,SSH,False,6,2026-05-05,Tuesday,True,51,9
2026-05-05 06:40:09,guest,198.51.100.5,Iran,🇮🇷,FAILED,RDP,False,6,2026-05-05,Tuesday,True,51,9
2026-05-05 06:43:20,admin,10.0.0.5,Egypt,🇪🇬,SUCCESS,RDP,True,6,2026-05-05,Tuesday,True,5,9
2026-05-05 06:45:34,admin,45.33.32.156,USA,🇺🇸,SUCCESS,VPN,True,6,2026-05-05,Tuesday,True,5,9
2026-05-05 06:48:39,service_acc,203.0.113.77,North Korea,🇰🇵,FAILED,SSH,False,6,2026-05-05,Tuesday,True,44,9
2026-05-05 06:51:02,jane.smith,192.168.1.10,Egypt,🇪🇬,SUCCESS,SSH,True,6,2026-05-05,Tuesday,True,4,9
2026-05-05 06:54:38,backup_user,185.23.45.2,Russia,🇷🇺,FAILED,SSH,False,6,2026-05-05,Tuesday,True,41,9
2026-05-05 06:57:30,root,45.33.32.156,USA,🇺🇸,SUCCESS,login,True,6,2026-05-05,Tuesday,True,5,9
2026-05-05 07:00:04,jane.smith,10.0.0.5,Egypt,🇪🇬,SUCCESS,API,True,7,2026-05-05,Tuesday,False,5,9
2026-05-05 07:02:31,service_acc,192.168.1.10,Egypt,🇪🇬,SUCCESS,SSH,True,7,2026-05-05,Tuesday,False,4,9
2026-05-05 07:05:19,service_acc,192.168.1.10,Egypt,🇪🇬,SUCCESS,API,True,7,2026-05-05,Tuesday,False,4,9
2026-05-05 07:08:32,guest,185.23.45.2,Russia,🇷🇺,FAILED,SSH,False,7,2026-05-05,Tuesday,False,41,9
2026-05-05 07:11:23,backup_user,194.165.16.11,Belarus,🇧🇾,FAILED,login,False,7,2026-05-05,Tuesday,False,61,9
